,A,B,C,A,B,C
254,QJT72242.1 ,B.1,1273,France,France,Mar-20
255,QJT72278.1 ,B.1,1273,France,France,Mar-20
256,QJT72350.1 ,B.40,1273,France,France,Mar-20
257,QJT72386.1 ,B.1.1,1273,France,France,Mar-20
258,QJT72470.1 ,B.1.356,1273,France,France,Mar-20
259,QJT72614.1 ,B.1,1273,France,France,Mar-20
260,QJT72806.1 ,B.1,1273,France,France,Mar-20
261,QJT73010.1 ,B.1,1273,France,France,Mar-20
262,QJT73034.1 ,B,1273,France,France,Mar-20
263,QJA42177.1 ,B.1,1273,USA: VA,USA,Mar-20
264,QLH56254.1 ,B.1,1273,Saudi Arabia,Saudi Arabia,2020/3/1
265,QJF77846.1 ,B.53,1273,India,India,2020/3/1
266,ULS33529.1 ,AY.29,1271,Japan,Japan,2020/3/2
267,QKS90179.1 ,A.1,1273,"USA: Washington,Snohomish County",USA,2020/3/2
268,UTS87259.1 ,B.1,1268,France,France,2020/3/3
269,QWC76579.1 ,B.31,1273,New Zealand,New Zealand,2020/3/3
270,QLJ85677.1 ,B,1273,Thailand,Thailand,2020/3/3
271,QKS90791.1 ,A.1,1273,"USA: Washington,King County",USA,2020/3/3
272,QJY51324.1 ,B.1,1266,Italy: Lazio,Italy,2020/3/4
273,QSE99577.1 ,A.5,1273,Israel,Israel,2020/3/7
274,QJA17596.1 ,B.1,1273,USA: IN,USA,2020/3/7
275,UOM04001.1 ,B.1,1273,USA,USA,2020/3/9
276,UHA63801.1 ,A,1273,USA,USA,2020/3/9
277,QJQ28105.1 ,B.1,1273,USA: NY,USA,2020/3/9
278,QSF00022.1 ,A.2,1273,Israel,Israel,2020/3/10
279,QQP30076.1 ,B.1,1273,USA,USA,2020/3/10
280,QNA39510.1 ,A.1,1273,USA: Massachusetts,USA,2020/3/10
281,QJS54334.1 ,B.1,1273,Greece: Athens,Greece,2020/3/10
282,QIZ15717.1 ,A,1273,USA: GA,USA,2020/3/10
283,QIU80913.1 ,B,1273,"China: Anhui, Fuyang",China,2020/3/10
284,UHA66834.1 ,A.1,1273,USA,USA,2020/3/11
285,QLA46612.1 ,A.5,1273,South Korea,South Korea,2020/3/11
286,QJS53578.1 ,B.1.1.16,1273,Greece: Athens,Greece,2020/3/11
287,QJD48915.1 ,B.1,1273,USA: WA,USA,2020/3/11
288,UBW91681.1 ,A.1,1273,USA: TN,USA,2020/3/12
289,QRN63270.1 ,B.1.371,1273,USA: Washington,USA,2020/3/12
290,QOU93662.1 ,A,1273,USA: UT,USA,2020/3/12
291,QMT28629.1 ,A.1,1273,USA: Washington,USA,2020/3/12
292,QJR85593.1 ,B.40,1273,Australia: Victoria,Australia,2020/3/12
293,QRN59082.1 ,A.1,1273,USA: Washington,USA,2020/3/13
294,QOU89330.1 ,B.1.314,1273,USA: NY,USA,2020/3/13
295,QOU93050.1 ,A,1273,USA: MN,USA,2020/3/13
296,QOU98750.1 ,B.1.595,1273,USA: MN,USA,2020/3/13
297,QOF16421.1 ,B.1,1273,USA: MN,USA,2020/3/13
298,QOF19325.1 ,B.1.369,1273,USA: NY,USA,2020/3/13
299,QOF19361.1 ,B.1,1273,USA: NY,USA,2020/3/13
300,QOF20777.1 ,B.1.595,1273,USA: MN,USA,2020/3/13
301,QMU91459.1 ,B.1.110,1273,USA: FL,USA,2020/3/13
302,QKT21158.1 ,A.1,1273,USA: CA,USA,2020/3/13
303,QKU53925.1 ,A.1,1273,"USA: Washington,King County",USA,2020/3/13
304,QKS66532.1 ,B.1,1273,USA: MD,USA,2020/3/13
305,QJR85833.1 ,A.1,1273,Australia: Victoria,Australia,2020/3/13
306,QIQ49882.1 ,A.1,1273,USA: WA,USA,2020/3/13
307,QRN64146.1 ,A.1,1273,USA: Washington,USA,2020/3/14
308,QOU84842.1 ,A.1,1273,USA: UT,USA,2020/3/14
309,QOU93902.1 ,A.1,1273,USA: WA,USA,2020/3/14
310,QOU95810.1 ,B.1.1,1273,USA: GA,USA,2020/3/14
311,QOU96134.1 ,B.1,1273,USA: NY,USA,2020/3/14
312,QOU97982.1 ,B.1,1273,USA: UT,USA,2020/3/14
313,QOF17045.1 ,B.1,1273,USA: MN,USA,2020/3/14
314,QOF20033.1 ,B.1,1273,USA: UT,USA,2020/3/14
315,QND76190.1 ,B.1,1273,USA: Maine,USA,2020/3/14
316,QMT96172.1 ,A.1,1273,USA: FL,USA,2020/3/14
317,QJS53386.1 ,B.1.1,1273,Greece: Athens,Greece,2020/3/14
318,QJS54286.1 ,B.1.1,1273,Greece: Athens,Greece,2020/3/14
319,QJR85953.1 ,B.61,1273,Australia: Victoria,Australia,2020/3/14
320,QJR85965.1 ,B.33,1273,Australia: Victoria,Australia,2020/3/14
321,QJD47800.1 ,B.1.1,1273,Taiwan,Taiwan,2020/3/14
322,UST35957.1 ,A.6,1273,Thailand: Bangkok,Thailand,2020/3/15
323,UKC36190.1 ,B.1.2,1273,USA,USA,2020/3/15
324,UKC36225.1 ,B.1.517,1273,USA,USA,2020/3/15
325,QUJ17739.1 ,B.1.1.7,1270,Poland,Poland,2020/3/15
326,QUJ17763.1 ,B.1.1.7,1270,Poland,Poland,2020/3/15
327,QUJ17787.1 ,B.1.258,1271,Poland,Poland,2020/3/15
328,QSF12728.1 ,B.1.1,1273,Israel,Israel,2020/3/15
329,QSF12884.1 ,B.6,1273,Israel,Israel,2020/3/15
330,QSF12956.1 ,B.1.1,1273,Israel,Israel,2020/3/15
331,QSF13220.1 ,B.1,1273,Israel,Israel,2020/3/15
332,QSF13232.1 ,B.1.1,1273,Israel,Israel,2020/3/15
333,QSF13316.1 ,B.1,1273,Israel,Israel,2020/3/15
334,QKX45513.1 ,B.1,1273,Benin,Benin,2020/3/15
335,QQV22588.1 ,B.1,1273,USA,USA,2020/3/15
336,QQV23356.1 ,B.1,1273,USA,USA,2020/3/15
337,QQV23704.1 ,B.1.332,1273,USA,USA,2020/3/15
338,QQV23908.1 ,B.1,1273,USA,USA,2020/3/15
339,QOU87878.1 ,B.1,1273,USA: UT,USA,2020/3/15
340,QOU88610.1 ,B.1,1273,USA: UT,USA,2020/3/15
341,QOU93302.1 ,B.1,1273,USA: NY,USA,2020/3/15
342,QOU97226.1 ,B.1.151,1273,USA: CA,USA,2020/3/15
343,QOU97310.1 ,B.1.1,1273,USA: CA,USA,2020/3/15
344,QOU98882.1 ,B.1,1273,USA: NY,USA,2020/3/15
345,QMI90807.1 ,B.4,1273,"USA: San Diego, California",USA,2020/3/15
346,QLC91064.1 ,B.1.413,1273,USA: Wisconsin,USA,2020/3/15
347,QKU37093.1 ,B.1.1,1273,Saudi Arabia: Jeddah,Saudi Arabia,2020/3/15
348,QKS65584.1 ,B.40,1273,USA: CA,USA,2020/3/15
349,QIS61422.1 ,A.1,1273,USA: WA,USA,2020/3/15
350,UXB95661.1 ,A.1,1273,USA: IA,USA,2020/3/16
351,UHO56746.1 ,B.28,1273,Finland,Finland,2020/3/16
352,QQH17274.1 ,B.1.1.1,1273,Pakistan: KPK,Pakistan,2020/3/16
353,QQH17298.1 ,B.1.1.75,1273,Pakistan: Punjab,Pakistan,2020/3/16
354,QRN56070.1 ,A.1,1273,USA: Washington,USA,2020/3/16
355,QRN58662.1 ,A.1,1273,USA: Washington,USA,2020/3/16
356,QRN64518.1 ,A.1,1273,USA: Washington,USA,2020/3/16
357,QQK33680.1 ,B.1.177,1273,Tunisia,Tunisia,2020/3/16
358,QOU84674.1 ,B.1,1273,USA: UT,USA,2020/3/16
359,QOU87326.1 ,B.1,1273,USA: MN,USA,2020/3/16
360,QOU89342.1 ,B.1,1273,USA: NY,USA,2020/3/16
361,QOU93950.1 ,A.1,1273,USA: AZ,USA,2020/3/16
362,QOU94298.1 ,B,1273,USA: CA,USA,2020/3/16
363,QOU94886.1 ,B.1,1273,USA: NY,USA,2020/3/16
364,QOU95738.1 ,A,1273,USA: FL,USA,2020/3/16
365,QOU97058.1 ,B,1273,USA: CA,USA,2020/3/16
366,QOU97130.1 ,B.1,1273,USA: CA,USA,2020/3/16
367,QOF15437.1 ,B.1,1273,USA: NY,USA,2020/3/16
368,QOF20729.1 ,B.1,1273,USA: CT,USA,2020/3/16
369,QNH88883.1 ,A.2,1273,Venezuela,Venezuela,2020/3/16
370,QMJ01257.1 ,B.1.1,1273,Jordan: Amman,Jordan,2020/3/16
371,QMJ01509.1 ,B.40,1272,Jordan: Amman,Jordan,2020/3/16
372,QKS65656.1 ,A.1,1273,USA: CA,USA,2020/3/16
373,QIS60582.1 ,A.1,1273,USA: WA,USA,2020/3/16
374,QIS60930.1 ,A.1,1273,USA: WA,USA,2020/3/16
375,QIS30335.1 ,A.1,1273,USA: WA,USA,2020/3/16
376,UOM02551.1 ,B.1,1273,USA,USA,2020/3/17
377,UOQ26984.1 ,B.1.147,1273,Switzerland,Switzerland,2020/3/17
378,QZJ49063.1 ,A,1273,"USA: Arizona, Coconino Co.",USA,2020/3/17
379,QRN56370.1 ,A.1,1273,USA: Washington,USA,2020/3/17
380,QRN64614.1 ,A.1,1273,USA: Washington,USA,2020/3/17
381,QKX45525.1 ,B.1,1273,Benin,Benin,2020/3/17
382,QOU83726.1 ,B.1.1,1273,USA: CA,USA,2020/3/17
383,QOU84470.1 ,A.1,1273,USA: MA,USA,2020/3/17
384,QOU84482.1 ,B.1,1273,USA: MA,USA,2020/3/17
385,QOU86078.1 ,B.1,1273,USA: MI,USA,2020/3/17
